tau,oneR2_g0.2,oneR2_g1.0,oneR2_g5.0
0.1,0.00444395,1.62471e-05,8.50445e-07
0.114442,0.00675354,2.72258e-05,1.39006e-06
0.13097,0.00998458,4.5383e-05,2.25716e-06
0.149884,0.0143021,7.51571e-05,3.63844e-06
0.17153,0.0197866,0.000123469,5.81783e-06
0.196303,0.0263916,0.000200853,9.22057e-06
0.224652,0.0339291,0.000322852,1.44726e-05
0.257097,0.0420933,0.000511529,2.24769e-05
0.294226,0.0505184,0.000796661,3.45056e-05
0.336718,0.0588494,0.00121589,5.22977e-05
0.385347,0.0667948,0.0018128,7.81402e-05
0.440998,0.0741348,0.0026319,0.000114891
0.504687,0.0807024,0.00371055,0.000165889
0.577573,0.0863763,0.00506967,0.000234722
0.660986,0.0910979,0.00670784,0.000324868
0.756445,0.0948886,0.00860406,0.000439402
0.865691,0.0978519,0.0107311,0.000581011
0.990713,0.100158,0.0130731,0.000752524
1.13379,0.102018,0.015637,0.000957802
1.29753,0.103652,0.0184498,0.00120247
1.48492,0.105269,0.0215451,0.00149395
1.69937,0.107052,0.0249494,0.00184083
1.94479,0.109151,0.0286752,0.00225185
2.22566,0.111698,0.0327186,0.00273517
2.54709,0.114729,0.0370607,0.00329822
2.91494,0.118165,0.0416697,0.00395493
3.33591,0.121945,0.0465004,0.00476692
3.81768,0.126061,0.0516664,0.00605046
4.36903,0.130784,0.0572715,0.00898551
5,0.139972,0.0662943,0.0174295
