panel,u2,u3,T_star
CARA,-3.98397,3.98397,2
CARA,-3.96794,3.96794,2
CARA,-3.9519,3.9519,2
CARA,-3.93587,3.93587,2
CARA,-3.91984,3.91984,2
CARA,-3.90381,3.90381,2
CARA,-3.88778,3.88778,2
CARA,-3.87174,3.87174,2
CARA,-3.85571,3.85571,2
CARA,-3.83968,3.83968,2
CARA,-3.82365,3.82365,2
CARA,-3.80762,3.80762,2
CARA,-3.79158,3.79158,2
CARA,-3.77555,3.77555,2
CARA,-3.75952,3.75952,2
CARA,-3.74349,3.74349,2
CARA,-3.72745,3.72745,2
CARA,-3.71142,3.71142,2
CARA,-3.69539,3.69539,2
CARA,-3.67936,3.67936,2
CARA,-3.66333,3.66333,2
CARA,-3.64729,3.64729,2
CARA,-3.63126,3.63126,2
CARA,-3.61523,3.61523,2
CARA,-3.5992,3.5992,2
CARA,-3.58317,3.58317,2
CARA,-3.56713,3.56713,2
CARA,-3.5511,3.5511,2
CARA,-3.53507,3.53507,2
CARA,-3.51904,3.51904,2
CARA,-3.50301,3.50301,2
CARA,-3.48697,3.48697,2
CARA,-3.47094,3.47094,2
CARA,-3.45491,3.45491,2
CARA,-3.43888,3.43888,2
CARA,-3.42285,3.42285,2
CARA,-3.40681,3.40681,2
CARA,-3.39078,3.39078,2
CARA,-3.37475,3.37475,2
CARA,-3.35872,3.35872,2
CARA,-3.34269,3.34269,2
CARA,-3.32665,3.32665,2
CARA,-3.31062,3.31062,2
CARA,-3.29459,3.29459,2
CARA,-3.27856,3.27856,2
CARA,-3.26253,3.26253,2
CARA,-3.24649,3.24649,2
CARA,-3.23046,3.23046,2
CARA,-3.21443,3.21443,2
CARA,-3.1984,3.1984,2
CARA,-3.18236,3.18236,2
CARA,-3.16633,3.16633,2
CARA,-3.1503,3.1503,2
CARA,-3.13427,3.13427,2
CARA,-3.11824,3.11824,2
CARA,-3.1022,3.1022,2
CARA,-3.08617,3.08617,2
CARA,-3.07014,3.07014,2
CARA,-3.05411,3.05411,2
CARA,-3.03808,3.03808,2
CARA,-3.02204,3.02204,2
CARA,-3.00601,3.00601,2
CARA,-2.98998,2.98998,2
CARA,-2.97395,2.97395,2
CARA,-2.95792,2.95792,2
CARA,-2.94188,2.94188,2
CARA,-2.92585,2.92585,2
CARA,-2.90982,2.90982,2
CARA,-2.89379,2.89379,2
CARA,-2.87776,2.87776,2
CARA,-2.86172,2.86172,2
CARA,-2.84569,2.84569,2
CARA,-2.82966,2.82966,2
CARA,-2.81363,2.81363,2
CARA,-2.7976,2.7976,2
CARA,-2.78156,2.78156,2
CARA,-2.76553,2.76553,2
CARA,-2.7495,2.7495,2
CARA,-2.73347,2.73347,2
CARA,-2.71743,2.71743,2
CARA,-2.7014,2.7014,2
CARA,-2.68537,2.68537,2
CARA,-2.66934,2.66934,2
CARA,-2.65331,2.65331,2
CARA,-2.63727,2.63727,2
CARA,-2.62124,2.62124,2
CARA,-2.60521,2.60521,2
CARA,-2.58918,2.58918,2
CARA,-2.57315,2.57315,2
CARA,-2.55711,2.55711,2
CARA,-2.54108,2.54108,2
CARA,-2.52505,2.52505,2
CARA,-2.50902,2.50902,2
CARA,-2.49299,2.49299,2
CARA,-2.47695,2.47695,2
CARA,-2.46092,2.46092,2
CARA,-2.44489,2.44489,2
CARA,-2.42886,2.42886,2
CARA,-2.41283,2.41283,2
CARA,-2.39679,2.39679,2
CARA,-2.38076,2.38076,2
CARA,-2.36473,2.36473,2
