K,oneR2_g0.3,oneR2_g1.0,oneR2_g3.0,oneR2_g1000.0
3,0.0893386,0.0293472,0.00568915,0
4,0.0773354,0.0259576,0.00519129,0
5,0.068899,0.022585,0.0045996,0
6,0.0621329,0.0199823,0.0041195,0
7,0.0558935,0.0176312,0.00367226,0
8,0.0510347,0.0159871,0.00336457,0
10,0.0436108,0.0133234,0.0028198,0
12,0.0381176,0.0115196,0.00245685,0
15,0.0315946,0.00937897,0.00200117,0
20,0.0246391,0.00718887,0.00153919,0
25,0.0203878,0.00592334,0.0012683,0
30,0.0173064,0.00501196,0.00107365,0
40,0.0133102,0.00380161,0.000811969,0
50,0.0107944,0.00306656,0.000654946,0
70,0.00786043,0.00221179,0.000470786,0
100,0.00555648,0.00156485,0.000333173,0
