tau,oneR2_g0.25,oneR2_g1.0,oneR2_g4.0,oneR2_gINF
0.100000,1.949065e-03,1.718479e-05,1.351836e-06,0
0.117210,3.283052e-03,3.152609e-05,2.410174e-06,0
0.137382,5.367744e-03,5.738600e-05,4.257677e-06,0
0.161026,8.465628e-03,1.034173e-04,7.443339e-06,0
0.188739,1.280448e-02,1.840071e-04,1.286075e-05,0
0.221222,1.849256e-02,3.221543e-04,2.193060e-05,0
0.259294,2.544638e-02,5.527524e-04,3.684852e-05,0
0.303920,3.337569e-02,9.251510e-04,6.088861e-05,0
0.356225,4.184324e-02,1.502714e-03,9.870699e-05,0
0.417532,5.036391e-02,2.356222e-03,1.565091e-04,0
0.489390,5.848472e-02,3.549046e-03,2.418579e-04,0
0.573615,6.583762e-02,5.117213e-03,3.629261e-04,0
0.672336,7.219497e-02,7.056126e-03,5.273273e-04,0
0.788046,7.751246e-02,9.329371e-03,7.413117e-04,0
0.923671,8.192218e-02,1.190177e-02,1.010494e-03,0
1.082637,8.567498e-02,1.477339e-02,1.342382e-03,0
1.268961,8.906225e-02,1.798453e-02,1.749006e-03,0
1.487352,9.237030e-02,2.159030e-02,2.247231e-03,0
1.743329,9.581447e-02,2.563140e-02,2.856460e-03,0
2.043360,9.946331e-02,3.012108e-02,3.595714e-03,0
2.395027,1.034445e-01,3.504403e-02,4.481629e-03,0
2.807216,1.080609e-01,4.035454e-02,5.526896e-03,0
3.290345,1.133812e-01,4.596643e-02,6.738116e-03,0
3.856620,1.189350e-01,5.173235e-02,8.112731e-03,0
4.520354,1.239846e-01,5.742010e-02,9.634477e-03,0
5.298317,1.279179e-01,6.270980e-02,1.126970e-02,0
6.210169,1.305704e-01,6.728259e-02,1.292345e-02,0
7.278954,1.303235e-01,7.005621e-02,1.452275e-02,0
8.531679,1.303358e-01,7.286863e-02,1.616040e-02,0
10.000000,1.300572e-01,7.532989e-02,1.807745e-02,0
