tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,oneR2_eq,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
0.3,0.3,0.3,0.3,0.3,0.3,1.0,1000,4.74,6.824e-08,6.476e-06,2.008730e-07,2.008730e-07,0.5744517839,0.57445191,0.57445144,0.57445191,0.000000,0,cold
1.0,1.0,1.0,0.3,0.3,0.3,1.0,1000,4.84,1.510e-07,6.014e-06,1.009153e-04,1.009153e-04,0.7449746286,0.74558394,0.74376264,0.74558394,0.001821,0,cold
3.0,3.0,3.0,0.3,0.3,0.3,1.0,437,2.06,9.515e-09,2.819e-04,2.414611e-03,2.414611e-03,0.9704431219,0.97615467,0.96338672,0.97615467,0.012768,1,cold
10.0,10.0,10.0,0.3,0.3,0.3,0.1,4000,20.34,1.217e-02,3.034e+00,1.477248e-01,1.477248e-01,0.9999654480,0.99998358,0.99995278,0.99998358,0.000031,0,cold
0.3,0.3,0.3,1.0,1.0,1.0,0.1,4000,18.88,1.269e-07,1.602e-06,1.856364e-10,1.856364e-10,0.5744475536,0.57444762,0.57444737,0.57444762,0.000000,0,cold
1.0,1.0,1.0,1.0,1.0,1.0,1.0,917,4.44,9.967e-09,1.265e-07,1.008644e-04,1.008644e-04,0.7450230760,0.74563243,0.74380436,0.74563243,0.001828,1,cold
3.0,3.0,3.0,1.0,1.0,1.0,1.0,412,2.06,9.820e-09,8.456e-05,2.857366e-03,2.857366e-03,0.9739611790,0.97910559,0.96367236,0.97910559,0.015433,1,cold
10.0,10.0,10.0,1.0,1.0,1.0,0.1,4000,20.84,5.848e-03,2.999e+00,1.976352e-01,1.976352e-01,0.9999817936,0.99999543,0.99995451,0.99999543,0.000041,0,cold
0.3,0.3,0.3,3.0,3.0,3.0,0.1,4000,19.24,2.039e-08,8.580e-08,4.403145e-12,4.403145e-12,0.5744433384,0.57444335,0.57444331,0.57444335,0.000000,0,cold
1.0,1.0,1.0,3.0,3.0,3.0,1.0,128,0.61,9.991e-09,9.702e-08,1.009855e-04,1.009855e-04,0.7450287472,0.74563785,0.74380863,0.74563785,0.001829,1,warm
3.0,3.0,3.0,3.0,3.0,3.0,1.0,426,2.02,9.301e-09,2.819e-05,3.079038e-03,3.079038e-03,0.9754760076,0.98024802,0.96382061,0.98024802,0.016427,1,cold
10.0,10.0,10.0,3.0,3.0,3.0,0.1,4000,20.63,4.678e-02,2.879e+00,2.582721e-01,2.582721e-01,0.9999554666,0.99995462,0.99995712,0.99995462,-0.000002,0,warm
0.3,0.3,0.3,10.0,10.0,10.0,1.0,65,0.30,9.981e-09,1.216e-08,1.336820e-12,1.336597e-12,0.5744428515,0.57444286,0.57444283,0.57444286,0.000000,1,cold
1.0,1.0,1.0,10.0,10.0,10.0,1.0,84,0.40,9.986e-09,4.151e-08,1.010275e-04,1.010275e-04,0.7450307195,0.74563973,0.74381011,0.74563973,0.001830,1,warm
3.0,3.0,3.0,10.0,10.0,10.0,1.0,396,1.87,9.294e-09,8.456e-06,3.128065e-03,3.128065e-03,0.9760541138,0.98066859,0.96385381,0.98066859,0.016815,1,cold
10.0,10.0,10.0,10.0,10.0,10.0,0.3,2500,12.83,1.998e-02,1.497e+00,1.985512e-01,1.985512e-01,0.9999554161,0.99995452,0.99995716,0.99995452,-0.000003,0,cold
0.3,0.3,0.3,50.0,50.0,50.0,1.0,28,0.14,9.591e-09,2.192e-09,1.073586e-13,1.071365e-13,0.5744425316,0.57444253,0.57444253,0.57444253,0.000000,1,cold
1.0,1.0,1.0,50.0,50.0,50.0,0.3,2500,11.83,9.150e-08,2.199e-08,1.009148e-04,1.009148e-04,0.7450238140,0.74563222,0.74380418,0.74563222,0.001828,0,cold
3.0,3.0,3.0,50.0,50.0,50.0,1.0,489,2.29,8.936e-09,1.691e-06,3.154042e-03,3.154042e-03,0.9762547750,0.98081069,0.96386410,0.98081069,0.016947,1,cold
10.0,10.0,10.0,50.0,50.0,50.0,0.1,4000,20.75,5.378e-03,4.951e-01,2.452582e-01,2.452582e-01,0.9999975346,0.99999946,0.99995566,0.99999946,0.000044,0,warm
0.3,0.3,0.3,0.3,0.3,1.0,1.0,1000,4.83,9.074e-07,2.225e-05,1.562973e-01,7.115947e-08,0.5745274810,0.57452838,0.57452616,0.57452832,0.000002,0,cold
1.0,1.0,1.0,0.3,0.3,1.0,0.1,4000,19.00,1.117e-04,5.490e-03,1.562768e-01,2.437119e-04,0.7412246181,0.74146135,0.74069272,0.74219055,0.000769,0,warm
3.0,3.0,3.0,0.3,0.3,1.0,0.3,2500,11.91,1.136e-06,1.462e-02,1.546917e-01,3.488274e-03,0.9622386799,0.96505638,0.96011106,0.96116059,0.004945,0,idw
10.0,10.0,10.0,0.3,0.3,1.0,1.0,1000,5.13,2.335e-02,2.999e+09,9.794579e-01,9.704801e-01,0.6665528775,0.99958783,0.00000530,0.99963674,0.999583,0,idw
0.3,0.3,0.3,0.3,0.3,3.0,0.1,4000,19.31,1.358e-06,3.891e-05,2.686572e-01,1.094779e-06,0.5745070758,0.57450574,0.57450582,0.57452721,-0.000000,0,idw
1.0,1.0,1.0,0.3,0.3,3.0,0.3,2500,11.86,4.907e-05,3.271e-03,2.668894e-01,7.634790e-04,0.7242243871,0.72409596,0.72437298,0.72402338,-0.000277,0,cold
3.0,3.0,3.0,0.3,0.3,3.0,1.0,801,3.89,9.958e-09,1.973e-04,2.626995e-01,5.121572e-03,0.9518174669,0.95205309,0.95158867,0.95177398,0.000464,1,warm
10.0,10.0,10.0,0.3,0.3,3.0,0.3,2500,13.21,7.124e-03,2.900e+00,3.874280e-01,1.679313e-01,0.9999477174,0.99994220,0.99995437,0.99995260,-0.000012,0,idw
0.3,0.3,0.3,0.3,0.3,10.0,0.1,4000,19.05,3.242e-06,1.411e-04,3.135280e-01,1.145294e-06,0.5741861566,0.57418478,0.57418610,0.57421689,-0.000001,0,cold
1.0,1.0,1.0,0.3,0.3,10.0,0.3,2500,11.78,1.278e-04,7.148e-03,3.081620e-01,1.217769e-03,0.7389752036,0.73923622,0.73861160,0.74196094,0.000625,0,idw
3.0,3.0,3.0,0.3,0.3,10.0,1.0,1000,4.80,1.130e-07,1.907e-04,3.095015e-01,6.034223e-03,0.9506768211,0.95094563,0.95069272,0.94043914,0.000253,0,warm
10.0,10.0,10.0,0.3,0.3,10.0,0.1,4000,20.98,7.999e-03,2.698e+00,4.361792e-01,2.134703e-01,0.9999463394,0.99994029,0.99995434,0.99995214,-0.000014,0,idw
0.3,0.3,0.3,0.3,0.3,50.0,1.0,1000,4.70,5.043e-06,1.266e-04,3.294113e-01,2.196386e-06,0.5744168776,0.57441569,0.57441717,0.57451608,-0.000001,0,cold
1.0,1.0,1.0,0.3,0.3,50.0,0.1,4000,18.85,1.848e-04,1.030e-02,3.045116e-01,3.390367e-03,0.7459457106,0.74664017,0.74534031,0.73020241,0.001300,0,cold
3.0,3.0,3.0,0.3,0.3,50.0,1.0,1000,4.94,4.132e-03,2.265e-01,2.483669e-01,5.105429e-02,0.9473297508,0.94608862,0.94866116,0.94297844,-0.002573,0,cold
10.0,10.0,10.0,0.3,0.3,50.0,1.0,1000,5.05,1.009e-02,1.999e+09,9.805947e-01,9.963380e-01,0.5195667231,0.99439398,0.00000469,0.99964311,0.994389,0,cold
0.3,0.3,0.3,0.3,1.0,1.0,1.0,1000,4.84,6.247e-07,1.018e-05,2.768350e-01,2.108317e-07,0.5744413611,0.57444136,0.57444120,0.57444151,0.000000,0,cold
1.0,1.0,1.0,0.3,1.0,1.0,0.3,2500,12.06,6.213e-05,2.312e-03,2.764128e-01,2.222638e-04,0.7469076802,0.74718846,0.74500423,0.74787406,0.002184,0,warm
3.0,3.0,3.0,0.3,1.0,1.0,1.0,1000,4.89,8.334e-07,1.027e-02,2.836704e-01,3.177939e-03,0.9425732936,0.94321077,0.94062042,0.94242702,0.002590,0,cold
10.0,10.0,10.0,0.3,1.0,1.0,0.1,4000,21.57,5.460e-02,3.151e+00,4.529212e-01,2.128124e-01,0.9999846043,0.99999612,0.99995570,0.99999829,0.000040,0,cold
0.3,0.3,0.3,0.3,1.0,3.0,0.3,2500,13.08,1.296e-06,2.838e-05,4.060596e-01,6.434733e-07,0.5745493692,0.57455010,0.57454443,0.57455259,0.000006,0,idw
1.0,1.0,1.0,0.3,1.0,3.0,1.0,1000,5.21,1.305e-04,6.878e-03,4.051721e-01,5.486219e-04,0.7444536831,0.74462900,0.74327019,0.74618821,0.001359,0,warm
3.0,3.0,3.0,0.3,1.0,3.0,0.3,2500,13.75,1.300e-05,3.979e-02,4.058345e-01,5.821979e-03,0.9692502909,0.97154692,0.96204150,0.96979498,0.009505,0,idw
10.0,10.0,10.0,0.3,1.0,3.0,0.1,4000,22.09,4.657e-02,1.366e+01,5.271764e-01,2.000859e-01,0.9999762481,0.99999374,0.99995565,0.99996654,0.000038,0,cold
0.3,0.3,0.3,0.3,1.0,10.0,0.1,4000,20.06,3.597e-06,8.764e-05,4.595045e-01,1.742942e-06,0.5745942585,0.57459321,0.57459246,0.57462897,0.000001,0,idw
1.0,1.0,1.0,0.3,1.0,10.0,0.1,4000,20.03,2.312e-04,1.107e-02,4.569378e-01,9.814711e-04,0.7421226626,0.74234602,0.74113186,0.74483560,0.001214,0,idw
3.0,3.0,3.0,0.3,1.0,10.0,1.0,645,3.25,9.936e-09,1.250e-04,4.580757e-01,7.050297e-03,0.9249714634,0.92727008,0.91813966,0.91898473,0.009130,1,cold
10.0,10.0,10.0,0.3,1.0,10.0,0.3,2500,13.69,5.680e-03,2.737e+00,5.504461e-01,1.951598e-01,0.9996675416,0.99965572,0.99968125,0.99985920,-0.000026,0,warm
0.3,0.3,0.3,0.3,1.0,50.0,1.0,1000,5.06,5.710e-06,1.052e-04,4.784856e-01,2.764749e-06,0.5742304815,0.57423109,0.57422763,0.57425338,0.000003,0,cold
1.0,1.0,1.0,0.3,1.0,50.0,1.0,1000,4.74,2.231e-04,8.071e-03,4.748224e-01,1.716458e-03,0.7172166862,0.71720348,0.71728778,0.71580162,-0.000084,0,idw
3.0,3.0,3.0,0.3,1.0,50.0,0.3,2500,11.80,2.370e-03,1.180e-01,4.719953e-01,8.689146e-03,0.9193327986,0.91965376,0.91866329,0.89725231,0.000990,0,idw
