tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
3.3999999999999915,3.3999999999999915,3.3999999999999915,3.0,3.0,3.0,SEED,0,0.00,3.785e-04,3.785e-04,7.326832e-02,0.6319897789,0.64488561,0.63316867,0.64488649,0.011717,1,post_jump_seed
3.3899999999999917,3.3899999999999917,3.3899999999999917,3.0,3.0,3.0,NK,1,42.29,3.860e-04,3.860e-04,5.883916e-02,0.6321797784,0.64507366,0.63318679,0.64507742,0.011887,1,backward
3.379999999999992,3.379999999999992,3.379999999999992,3.0,3.0,3.0,NK,1,42.67,7.659e-04,7.659e-04,7.145185e-02,0.6323217597,0.64520854,0.63317917,0.64521098,0.012029,1,backward
3.369999999999992,3.369999999999992,3.369999999999992,3.0,3.0,3.0,NK,1,41.86,4.537e-04,4.537e-04,7.439151e-02,0.6323790810,0.64525136,0.63311301,0.64525266,0.012138,1,backward
3.3599999999999923,3.3599999999999923,3.3599999999999923,3.0,3.0,3.0,NK,1,42.27,2.724e-03,2.724e-03,5.043768e-02,0.6324569330,0.64531605,0.63306921,0.64531627,0.012247,1,backward
3.3499999999999925,3.3499999999999925,3.3499999999999925,3.0,3.0,3.0,NK,1,42.96,8.033e-04,8.033e-04,7.277787e-02,0.6325600140,0.64541135,0.63301778,0.64540921,0.012394,1,backward
3.3399999999999928,3.3399999999999928,3.3399999999999928,3.0,3.0,3.0,NK,1,41.85,5.719e-04,5.719e-04,7.769003e-02,0.6327554264,0.64560392,0.63306709,0.64559627,0.012537,1,backward
3.329999999999993,3.329999999999993,3.329999999999993,3.0,3.0,3.0,NK,1,41.97,4.772e-04,4.772e-04,6.659029e-02,0.6328948062,0.64573325,0.63305289,0.64572179,0.012680,1,backward
3.319999999999993,3.319999999999993,3.319999999999993,3.0,3.0,3.0,NK,1,43.23,3.722e-04,3.722e-04,5.002912e-02,0.6330775804,0.64590399,0.63306497,0.64588948,0.012839,1,backward
3.3099999999999934,3.3099999999999934,3.3099999999999934,3.0,3.0,3.0,NK,1,41.68,4.369e-04,4.369e-04,7.652103e-02,0.6331939625,0.64600417,0.63302531,0.64598661,0.012979,1,backward
3.2999999999999936,3.2999999999999936,3.2999999999999936,3.0,3.0,3.0,NK,1,41.82,6.592e-04,6.592e-04,9.301205e-02,0.6333282989,0.64612483,0.63300800,0.64611052,0.013117,1,backward
3.289999999999994,3.289999999999994,3.289999999999994,3.0,3.0,3.0,NK,1,42.62,4.318e-04,4.318e-04,5.800703e-02,0.6334799199,0.64625560,0.63300089,0.64623638,0.013255,1,backward
3.279999999999994,3.279999999999994,3.279999999999994,3.0,3.0,3.0,NK,1,41.44,4.029e-04,4.029e-04,8.088209e-02,0.6336676213,0.64643091,0.63300427,0.64640622,0.013427,1,backward
3.2699999999999942,3.2699999999999942,3.2699999999999942,3.0,3.0,3.0,NK,1,43.36,2.363e-04,2.363e-04,7.387326e-02,0.6338845991,0.64663199,0.63305029,0.64660222,0.013582,1,backward
3.2599999999999945,3.2599999999999945,3.2599999999999945,3.0,3.0,3.0,NK,1,42.34,3.177e-04,3.177e-04,6.260135e-02,0.6345230446,0.64726376,0.63342481,0.64724797,0.013839,1,backward
3.2499999999999947,3.2499999999999947,3.2499999999999947,3.0,3.0,3.0,NK,1,42.43,8.245e-04,8.245e-04,1.178445e-01,0.6349680683,0.64770891,0.63369849,0.64769035,0.014010,1,backward
3.239999999999995,3.239999999999995,3.239999999999995,3.0,3.0,3.0,NK,1,42.60,4.517e-04,4.517e-04,8.396931e-02,0.6355034782,0.64823358,0.63449111,0.64823008,0.013742,1,backward
3.229999999999995,3.229999999999995,3.229999999999995,3.0,3.0,3.0,NK,1,42.82,6.799e-04,6.799e-04,6.484202e-02,0.6359506302,0.64865533,0.63515577,0.64867543,0.013500,1,backward
3.2199999999999953,3.2199999999999953,3.2199999999999953,3.0,3.0,3.0,NK,1,42.58,3.377e-04,3.377e-04,6.736887e-02,0.6363197562,0.64899521,0.63566584,0.64903510,0.013329,1,backward
3.2099999999999955,3.2099999999999955,3.2099999999999955,3.0,3.0,3.0,NK,1,42.48,3.421e-04,3.421e-04,5.462126e-02,0.6366827794,0.64933727,0.63616936,0.64938372,0.013168,1,backward
3.1999999999999957,3.1999999999999957,3.1999999999999957,3.0,3.0,3.0,NK,1,41.07,3.168e-04,3.168e-04,5.850901e-02,0.6370400210,0.64966572,0.63661656,0.64972963,0.013049,1,backward
3.189999999999996,3.189999999999996,3.189999999999996,3.0,3.0,3.0,NK,1,42.30,3.587e-04,3.587e-04,7.835219e-02,0.6371944366,0.64979034,0.63688175,0.64985097,0.012909,1,backward
3.179999999999996,3.179999999999996,3.179999999999996,3.0,3.0,3.0,NK,1,41.77,3.536e-04,3.536e-04,4.999182e-02,0.6368621771,0.64937784,0.63658200,0.64943324,0.012796,1,backward
3.1699999999999964,3.1699999999999964,3.1699999999999964,3.0,3.0,3.0,NK,1,42.36,3.638e-04,3.638e-04,7.129055e-02,0.6369664737,0.64944146,0.63670742,0.64948971,0.012734,1,backward
3.1599999999999966,3.1599999999999966,3.1599999999999966,3.0,3.0,3.0,NK,1,42.43,6.239e-04,6.239e-04,9.188515e-02,0.6372815348,0.64973572,0.63702329,0.64975940,0.012712,1,backward
3.149999999999997,3.149999999999997,3.149999999999997,3.0,3.0,3.0,NK,1,42.28,3.458e-04,3.458e-04,4.865104e-02,0.6372125634,0.64962099,0.63682785,0.64963212,0.012793,1,backward
3.139999999999997,3.139999999999997,3.139999999999997,3.0,3.0,3.0,NK,1,42.23,8.476e-04,8.476e-04,8.350066e-02,0.6376610440,0.65004285,0.63747610,0.65005323,0.012567,1,backward
3.1299999999999972,3.1299999999999972,3.1299999999999972,3.0,3.0,3.0,NK,1,42.25,3.736e-04,3.736e-04,6.435496e-02,0.6379352057,0.65027428,0.63800968,0.65027656,0.012265,1,backward
3.1199999999999974,3.1199999999999974,3.1199999999999974,3.0,3.0,3.0,NK,1,53.10,1.135e-02,1.135e-02,1.277110e-01,0.6378386432,0.65011795,0.63786947,0.65013629,0.012248,0,backward
3.1099999999999977,3.1099999999999977,3.1099999999999977,3.0,3.0,3.0,NK,1,56.41,3.751e-03,3.751e-03,6.941648e-02,0.6385167121,0.65075778,0.63911127,0.65077649,0.011647,0,backward
3.099999999999998,3.099999999999998,3.099999999999998,3.0,3.0,3.0,NK,1,43.12,2.728e-04,2.728e-04,5.576859e-02,0.6386651293,0.65084003,0.63944137,0.65087271,0.011399,1,backward
3.089999999999998,3.089999999999998,3.089999999999998,3.0,3.0,3.0,NK,1,43.37,3.342e-04,3.342e-04,6.331573e-02,0.6391963068,0.65134241,0.64029726,0.65137029,0.011045,1,backward
3.0799999999999983,3.0799999999999983,3.0799999999999983,3.0,3.0,3.0,NK,1,42.39,3.175e-04,3.175e-04,7.805395e-02,0.6395476116,0.65163378,0.64090434,0.65166008,0.010729,1,backward
3.0699999999999985,3.0699999999999985,3.0699999999999985,3.0,3.0,3.0,NK,1,42.73,3.212e-04,3.212e-04,5.740532e-02,0.6398021917,0.65183830,0.64138747,0.65187105,0.010451,1,backward
3.0599999999999987,3.0599999999999987,3.0599999999999987,3.0,3.0,3.0,NK,1,42.77,1.665e-03,1.665e-03,7.236091e-02,0.6400891952,0.65206179,0.64193060,0.65210999,0.010131,1,backward
