# K=4 G=10 tau=2.0 ladder
#    gamma iters     residual   deficit_seed      deficit   time_s
  100.0000    40   3.0167e-05   6.340811e-06 1.945591e-08    25.40
   50.0000    40   3.1406e-05   1.945591e-08 1.838699e-08    25.68
   20.0000    40   3.1262e-05   1.838699e-08 1.854218e-08    25.74
   10.0000    40   3.1742e-05   1.854218e-08 1.429227e-08    26.19
    5.0000    40   3.1176e-05   1.429227e-08 9.901173e-09    25.89
    3.0000    40   3.0024e-05   9.901173e-09 7.234301e-09    25.94
    2.0000    40   2.6428e-05   7.234301e-09 1.605306e-08    26.04
    1.5000    40   2.3687e-05   1.605306e-08 1.887991e-08    25.71
    1.0000    40   2.0904e-05   1.887991e-08 1.948672e-08    26.10
    0.7000    40   2.0189e-05   1.948672e-08 2.419268e-08    26.21
    0.5000    40   1.9054e-05   2.419268e-08 2.470030e-08    26.30
    0.3500    40   1.5584e-05   2.470030e-08 2.849659e-08    26.05
    0.2500    40   1.5717e-05   2.849659e-08 3.706302e-08    25.87
