# Newton-Krylov K=4 het-gamma het-tau
# gammas = [np.float64(0.25), np.float64(1.0), np.float64(3.0), np.float64(10.0)]
# taus   = [np.float64(0.25), np.float64(1.0), np.float64(3.0), np.float64(10.0)]
# G=8  u in [-4.0, 4.0]
# seed deficit = 3.428317e-01
# final deficit = 1.831131e-01
# final ||F||inf = 2.883170e-01
# wall time = 375.3s

#          label  elapsed_s          F_inf   deficit_f128  phi_calls
            init       0.00   4.280997e-01   3.428317e-01          1
        picard20       4.11   4.032697e-01   5.532277e-02         21
         newton1      10.26   2.382945e-01   2.769870e-01         53
         newton2      19.17   2.432275e-01   1.506834e-01         87
         newton3      28.36   2.431839e-01   1.407683e-01        122
         newton4      38.78   8.452671e-01   9.193306e-02        162
         newton5      39.27   8.452721e-01   7.164405e-02        164
         newton6      49.41   8.452721e-01   7.168363e-02        205
         newton7      60.27   8.452721e-01   7.170243e-02        249
         newton8      69.74   5.058798e-01   7.334107e-02        287
         newton9      79.41   8.225719e-01   7.018742e-02        326
        newton10      89.42   7.284873e-01   9.046760e-02        366
        newton11     100.31   7.357859e-01   8.446402e-02        408
        newton12     110.93   7.360554e-01   8.050619e-02        450
        newton13     121.67   7.246471e-01   7.470334e-02        493
        newton14     132.77   6.520951e-01   7.275849e-02        537
        newton15     144.42   5.542880e-01   1.075819e-01        582
        newton16     156.55   2.960533e-01   9.886885e-02        628
        newton17     168.84   2.806944e-01   1.707220e-01        675
        newton18     182.06   2.977885e-01   1.620252e-01        723
        newton19     196.16   2.719542e-01   1.688773e-01        774
        newton20     210.90   2.876418e-01   1.786972e-01        827
     newton-fjvp     225.92   2.834972e-01   1.576854e-01        880
        newton21     226.20   2.766679e-01   1.601568e-01        881
     newton-fjvp     241.42   2.892868e-01   1.556610e-01        936
        newton22     241.42   2.892868e-01   1.556610e-01        936
        newton23     256.35   3.056601e-01   1.629004e-01        991
     newton-fjvp     271.62   3.009626e-01   1.502989e-01       1047
        newton24     271.62   3.009626e-01   1.502989e-01       1047
     newton-fjvp     286.72   3.007607e-01   1.503258e-01       1101
        newton25     287.01   3.024245e-01   2.175202e-01       1102
     newton-fjvp     302.08   3.024258e-01   2.174790e-01       1155
        newton26     303.46   2.959025e-01   2.065252e-01       1160
     newton-fjvp     318.61   2.958955e-01   2.065137e-01       1214
        newton27     320.04   2.920509e-01   2.031053e-01       1219
     newton-fjvp     335.11   2.920388e-01   2.031076e-01       1272
        newton28     336.84   2.789531e-01   1.974468e-01       1278
     newton-fjvp     351.87   2.789589e-01   1.975809e-01       1328
        newton29     354.88   2.887022e-01   1.835260e-01       1338
     newton-fjvp     370.15   2.887131e-01   1.835621e-01       1388
        newton30     375.02   2.883170e-01   1.831131e-01       1404
           final     375.32   2.883170e-01   1.831131e-01       1405
