iteration,residual_inf,revelation_deficit,max_fr_error,damping_used
1.0,0.00041112370854370917,0.000284002365942837,0.1805241405727026,0.3
2.0,0.00036782452920150477,0.0002867374827872915,0.18055745802496315,0.3
3.0,0.0002456947369539053,0.00028893855745315555,0.18064843306691547,0.3
4.0,0.00018024809105121609,0.0002906800571143009,0.18085504055102675,0.3
5.0,0.00012410030876053302,0.00029216405983822913,0.18116480510723842,0.3
6.0,7.613512111859233e-05,0.0002931053146174589,0.18146446665734794,0.3
7.0,5.187228217973239e-05,0.00029370465740641283,0.181669782844757,0.3
8.0,3.6130503999642904e-05,0.00029409141289316043,0.1818081467529471,0.3
9.0,2.497307837734386e-05,0.00029434490532120883,0.1819019681882642,0.3
10.0,1.7254189049631385e-05,0.0002945123380662107,0.18196486176008064,0.3
11.0,1.207174652972931e-05,0.0002946332967782572,0.1820078782726241,0.3
12.0,8.823301732574507e-06,0.00029471347402454384,0.1820372709374477,0.3
13.0,6.554575216810576e-06,0.00029477241498410134,0.1820615972523867,0.3
14.0,4.530217278864157e-06,0.0002948166424222576,0.18207896455557704,0.3
15.0,3.126856561563862e-06,0.00029484761693743256,0.1820909093750529,0.3
16.0,2.1554033154957963e-06,0.00029487344496936796,0.18209921398997053,0.3
17.0,1.4757638279183638e-06,0.0002948930342131506,0.1821049699865972,0.3
18.0,1.0093648393771915e-06,0.0002949064197754758,0.18210898405511033,0.3
19.0,6.87540543720111e-07,0.0002949150167544934,0.18211173783106738,0.3
20.0,4.709203191843869e-07,0.0002949205995337323,0.18211362020926347,0.3
21.0,3.2547068018473624e-07,0.0002949240781645601,0.18211491102659694,0.3
22.0,2.2695571533226655e-07,0.00029492587481150245,0.18211579882818585,0.3
23.0,1.5863625857370778e-07,0.00029492626192650917,0.1821164035242876,0.3
24.0,1.0962128471625476e-07,0.0002949261796528768,0.18211681604911034,0.3
25.0,7.554655800934285e-08,0.0002949256006488099,0.18211710042112672,0.3
26.0,5.142235059985012e-08,0.000294925094040277,0.18211729489781991,0.3
27.0,3.5345025628519267e-08,0.00029492476734793716,0.18211742793949837,0.3
28.0,2.540022414621035e-08,0.0002949245911005871,0.1821175209568845,0.3
29.0,1.750373668230054e-08,0.00029492447003409694,0.18211758555776536,0.3
30.0,1.1904892627256913e-08,0.00029492438251399467,0.18211762989570113,0.3
31.0,8.146015695320585e-09,0.00029492431896582794,0.18211766024483234,0.3
32.0,5.595161445270946e-09,0.00029492426904076385,0.18211768109651305,0.3
33.0,3.844113805051563e-09,0.00029492422834331844,0.18211769543693113,0.3
34.0,2.6554821674906748e-09,0.00029492419689958194,0.18211770529349502,0.3
35.0,1.8450999617058983e-09,0.0002949241724453655,0.18211771213553363,0.3
36.0,1.274353678137885e-09,0.00029492415307053044,0.1821177169427396,0.3
37.0,8.712470189742305e-10,0.00029492413735454637,0.18211772035820573,0.3
38.0,5.965377081196266e-10,0.0002949241253088486,0.18211772280934724,0.3
39.0,4.1229386571473015e-10,0.0002949241175436157,0.18211772461598452,0.3
40.0,2.850513158847434e-10,0.00029492411268838836,0.1821177259561334,0.3
41.0,1.982624620033846e-10,0.00029492410959641724,0.1821177269011265,0.3
42.0,1.4008277871013775e-10,0.0002949241079982512,0.1821177275454845,0.3
43.0,9.994000071955611e-11,0.00029492410739517805,0.18211772798337245,0.3
44.0,7.0361994009005e-11,0.0002949241071216191,0.18211772828942296,0.3
45.0,4.8769377425372795e-11,0.0002949241067866648,0.18211772851012087,0.3
46.0,3.387579106117755e-11,0.00029492410644038625,0.1821177286652893,0.3
