seed_index,family,amplitude,iterations,stage1_converged,residual_inf,nearest_known,distance_to_fr,distance_to_nonfr,revelation_deficit
0,near_nonfr,1.0198963995477861e-12,120,False,1.8690016388711594e-07,non-FR,0.00011282151345859415,5.8780404710814804e-05,5.3202886540759664e-11
1,near_nonfr,1.2756151329339048e-13,120,False,1.4862151330452544e-07,non-FR,0.00011235397231790234,6.055293148234109e-05,5.197442476401193e-11
2,near_nonfr,2.627019325684213e-13,120,False,1.8690155348388693e-07,non-FR,0.00011282164734038869,5.877966062806106e-05,5.3203774719179364e-11
3,near_nonfr,5.007512740795487e-10,93,True,8.515578531209655e-08,non-FR,0.00011026037087713547,6.744871830151322e-05,4.932121377976273e-11
4,near_nonfr,1.8781596825960278e-13,120,False,1.8689923905745864e-07,non-FR,0.00011282143306678982,5.878084957763874e-05,5.3202553473852277e-11
5,near_nonfr,6.296595247430073e-10,120,False,2.0780303769396546e-07,non-FR,0.00011498052113917412,4.894190401619203e-05,6.404476948773663e-11
6,near_nonfr,1.6413634922871646e-12,120,False,1.5100994234240606e-07,non-FR,0.00011231692887125888,6.0685724183176526e-05,5.187772433856708e-11
7,near_nonfr,4.704955002384643e-10,120,False,1.1528216481426767e-07,non-FR,0.00010968267523919772,7.014342126004935e-05,4.247624474373879e-11
8,near_nonfr,3.8048253286579415e-12,120,False,1.8056996148319016e-07,non-FR,0.00011280833519300426,5.885041725159357e-05,5.3147264367225944e-11
9,near_nonfr,1.147858636965945e-11,120,False,1.8401921540733834e-07,non-FR,0.00011282301905096714,5.8789379354315385e-05,5.3182236392501636e-11
10,near_nonfr,1.5180232829048519e-12,120,False,1.4862209402055626e-07,non-FR,0.00011235404465514964,6.055255897596812e-05,5.1974646808616853e-11
11,near_nonfr,6.646807436977328e-10,120,False,1.5145893088319706e-07,non-FR,0.00011150495758649459,6.239043003962441e-05,5.2649995474496336e-11
12,near_nonfr,4.112915419311907e-14,120,False,1.5100775338505734e-07,non-FR,0.00011231667824029845,6.068703021908095e-05,5.187639207093753e-11
13,near_nonfr,4.218655436712986e-11,110,True,9.110338064499679e-08,non-FR,0.00010992580978697042,6.816485388069782e-05,4.8111847839038546e-11
14,near_nonfr,4.122501213222981e-13,120,False,1.510075730154492e-07,non-FR,0.00011231666184963185,6.0687145110135954e-05,5.187650309323999e-11
15,near_nonfr,2.605117602908777e-09,93,True,9.305035676698825e-08,non-FR,0.00011236718841517446,5.998129875864344e-05,5.1160520264659226e-11
16,near_nonfr,7.754856290661793e-12,120,False,1.805694372636335e-07,non-FR,0.00011280830543808351,5.885048174542051e-05,5.3147264367225944e-11
