seed_index,family,amplitude,iterations,stage1_converged,residual_inf,nearest_known,distance_to_fr,distance_to_nonfr,revelation_deficit
0,near_fr,2.2045268960051e-08,1,True,4.3700529861467885e-09,FR,1.0265294281275317e-08,0.0003255661492807538,1.1102230246251565e-16
1,near_nonfr,1.949872764642303e-09,60,False,4.983700358229814e-07,non-FR,0.0002355854190772555,0.00012555954325532692,5.832320182364015e-10
2,mixed_fr_nonfr,4.492125184830193e-07,60,False,1.6500074082048677e-07,FR,6.93974415866272e-05,0.0002561772947537455,4.5878301158097656e-11
3,mixed_no_learning,1.0273344062658171e-07,60,False,1.7820301684845496e-06,non-FR,0.0007936452954148132,0.0007480190823806465,1.479473210608262e-10
4,near_fr,3.062113370518435e-09,1,True,5.614044784607586e-10,FR,1.7320247458485483e-09,0.0003255747692470501,0.0
5,near_nonfr,3.971519873578916e-05,60,False,4.033021004656856e-07,non-FR,0.0002308235550779747,0.00011228939107832403,6.079982073359247e-10
6,mixed_fr_nonfr,2.283794060683971e-07,60,False,2.9992952504942494e-07,FR,9.834982554607352e-05,0.00022722491079429918,7.900124998627689e-11
7,mixed_no_learning,3.092597397964131e-06,60,False,4.236044838790143e-06,non-FR,0.0007185914651893222,0.0006000732487516647,9.113867438514944e-10
8,near_fr,1.0242135364941431e-07,1,True,2.5890487254098815e-08,FR,4.4227445372690966e-08,0.0003255427471167138,8.881784197001252e-16
9,near_nonfr,3.714238671713729e-07,60,False,6.377440857630035e-07,non-FR,0.00031032260638436115,1.8010707926785496e-05,9.602916239970227e-10
10,mixed_fr_nonfr,1.4846546174673683e-08,60,False,2.3413033012342765e-07,FR,0.00011230173536003196,0.00021327300098034074,9.657774580063005e-11
11,mixed_no_learning,0.0001827402574302163,60,False,1.3814604472028869e-06,non-FR,0.0006153222698259686,0.0005362458158696404,1.0065993594210454e-09
12,near_fr,5.206046883882237e-10,1,True,1.2859791009844912e-10,FR,2.549938038498567e-10,0.00032557473474853493,0.0
13,near_nonfr,1.6957808682037063e-06,60,False,6.369397865801929e-07,non-FR,0.0002691895526513166,8.419767517475751e-05,7.369859167383197e-10
14,mixed_fr_nonfr,2.4267793109527427e-09,60,False,1.6558294346769031e-07,FR,8.004921542914545e-05,0.00024552552091122726,6.182010459099274e-11
15,mixed_no_learning,0.0010796233958683724,60,False,2.6385309545018387e-06,non-FR,0.0006932524911829052,0.0006286267766116987,1.2564355889033152e-08
16,near_fr,2.3505493829706303e-07,1,True,6.404422364658657e-08,FR,1.3873712390033432e-07,0.00032564705110932346,3.219646771412954e-15
17,near_nonfr,1.306572736413804e-10,60,False,6.401095782315736e-07,non-FR,0.00022489833436495354,0.00012987884921111803,5.410907277791921e-10
18,mixed_fr_nonfr,8.485018310578309e-09,60,False,5.168160179813697e-07,non-FR,0.00027459128540163746,5.098345093873524e-05,7.345116737056401e-10
19,mixed_no_learning,0.0015686872794360414,60,False,2.569167840871245e-05,non-FR,0.00605148875235173,0.006029765806249587,8.757169955853072e-08
20,near_fr,4.2115829437505677e-07,3,True,6.604659524844791e-08,FR,2.2445803471438097e-07,0.000325432537951198,5.551115123125783e-15
21,near_nonfr,3.623361875243971e-08,60,False,3.3683155767350037e-07,non-FR,0.00020934708405101476,0.00013519310511089788,4.774639572602268e-10
22,mixed_fr_nonfr,0.0005599680427125706,60,False,8.300018951579169e-07,non-FR,0.00034685825901425993,0.0003413277903756562,1.7971424348672826e-10
23,mixed_no_learning,2.7832534521258964e-05,60,False,1.8927657143841259e-06,non-FR,0.0005556015562020455,0.0004662526444807469,7.423939241135713e-11
24,near_fr,1.55273927999143e-05,11,True,7.34749989739214e-08,FR,6.403345629069079e-06,0.00032379340639376863,7.129852264142755e-13
25,near_nonfr,1.9358995597036783e-06,60,False,7.201082599106456e-07,non-FR,0.00030699530812638987,2.3242995762895458e-05,9.443585913260222e-10
26,mixed_fr_nonfr,3.202178428044613e-05,60,False,2.691577238866927e-07,FR,0.00014529226620613178,0.00018028247013424092,2.0810286827099844e-10
27,mixed_no_learning,1.3866401274520735e-08,60,False,2.9040699001114945e-06,non-FR,0.0006036400869242065,0.0004678621645599623,2.5526136759879137e-10
28,near_fr,3.931777875056618e-06,8,True,9.458851835120186e-08,FR,2.076400189288119e-06,0.0003234983361510846,4.707345624410664e-14
29,near_nonfr,2.0197124341104905e-08,60,False,5.708858944464268e-07,non-FR,0.00022099011052051365,0.00013592206762413905,5.258915525274688e-10
30,mixed_fr_nonfr,0.0003641504886299247,60,False,1.1527747475481576e-06,non-FR,0.00021896852461511518,0.00015794704266042237,7.215675834615354e-10
31,mixed_no_learning,0.004429860273700308,60,False,1.2691716939128295e-05,non-FR,0.0031316894829831465,0.0030340337339865853,1.4716006546677818e-07
32,near_fr,1.5512388748382466e-07,1,True,4.0427089231798163e-08,FR,1.1484313350296205e-07,0.00032561268827463463,6.661338147750939e-16
33,near_nonfr,6.325987184935036e-05,60,False,4.5527388503607824e-07,non-FR,0.0002265299332279147,0.0001165338131547955,6.491721604717782e-10
34,mixed_fr_nonfr,9.108500132781804e-08,60,False,1.9361806391504643e-07,FR,0.00017121610978487745,0.00021344086085603453,7.32469640496447e-11
35,mixed_no_learning,0.0018598497498496776,60,False,3.2925680961193304e-05,non-FR,0.0069101421763613224,0.006896452656524499,1.014209584093706e-07
36,near_fr,4.838978642094533e-07,2,True,9.110555143632126e-08,FR,2.299689254026127e-07,0.00032554496222120255,6.994405055138486e-15
37,near_nonfr,0.00019524155252132846,60,False,6.501154988791669e-07,non-FR,0.00024325867538664558,9.84947592319596e-05,7.490291720202435e-10
38,mixed_fr_nonfr,9.97789259707449e-07,60,False,3.1040246062374877e-07,FR,0.00015157270826376967,0.00017400202807660303,2.26169860617631e-10
39,mixed_no_learning,1.220013701791565e-06,60,False,1.2793600063232269e-06,non-FR,0.0005370731674458895,0.00039925379042049514,1.099280666494451e-10
40,near_fr,3.188028107228206e-05,15,True,9.507424880705884e-08,FR,1.1414834171274979e-05,0.00033009571377029534,1.7110757255522913e-12
41,near_nonfr,1.5395442964593247e-07,60,False,5.457368159600406e-07,non-FR,0.0002578351466466233,8.336615148041293e-05,6.838805077791221e-10
42,mixed_fr_nonfr,5.1733268956864044e-05,43,True,9.900137931673214e-08,FR,6.696586171181518e-05,0.00027529643114965197,5.226585830797603e-11
43,mixed_no_learning,4.0648623022841934e-07,60,False,1.7363639320422397e-05,non-FR,0.0053488254545864256,0.005303199241552259,9.007898427171313e-09
44,near_fr,4.6327538340574063e-10,1,True,1.1974421454397088e-10,FR,2.1789414716977262e-10,0.0003255747920319907,2.220446049250313e-16
45,near_nonfr,1.0968274322454753e-08,60,False,6.679852551094712e-07,non-FR,0.00023343685789029012,0.00011695070781292394,5.768933108996066e-10
